pregunta,intencion
qué necesito para tramitar mi título,documentacion
dónde consigo el formulario de título,formulario
cuánto cuesta sacar el título,precio
cuánto demora en salir el título,tiempo
quién firma el título,firma
cómo presento el DNI,documentacion
tengo que llevar fotocopia del DNI,documentacion
hay que presentar el original del DNI,documentacion
cómo obtengo el formulario para el trámite,formulario
puedo descargar el formulario por internet,formulario
hay que ir a la facultad para retirar el formulario,formulario
precio del trámite del título,precio
el título tiene algún costo,precio
hay que pagar para obtener el título,precio
cuánto tarda en entregarse el título,tiempo
tiempo de espera para recibir el título,tiempo
quiénes firman los títulos,firma
